date,pollutant,mean_value,neighborhood
2021-01-31,Ozone,0.019,Washington Heights
2021-01-31,PM2.5,7.4,Washington Heights
2022-01-31,Ozone,0.023,Washington Heights
2022-01-31,PM2.5,13.05,Washington Heights
2020-02-01,Ozone,0.009,Washington Heights
2020-02-01,PM2.5,11.350000000000001,Washington Heights
2021-02-01,Ozone,0.03,Washington Heights
2021-02-01,PM2.5,5.4,Washington Heights
2022-02-01,Ozone,0.028,Washington Heights
2022-02-01,PM2.5,12.05,Washington Heights
2020-02-02,Ozone,0.022,Washington Heights
2020-02-02,PM2.5,9.8,Washington Heights
2021-02-02,Ozone,0.027,Washington Heights
2021-02-02,PM2.5,5.2,Washington Heights
2022-02-02,Ozone,0.006,Washington Heights
2022-02-02,PM2.5,13.3,Washington Heights
2020-02-03,Ozone,0.023,Washington Heights
2020-02-03,PM2.5,11.15,Washington Heights
2021-02-03,Ozone,0.028,Washington Heights
2021-02-03,PM2.5,6.75,Washington Heights
2022-02-03,Ozone,0.022,Washington Heights
2022-02-03,PM2.5,9.649999999999999,Washington Heights
2020-02-04,Ozone,0.019,Washington Heights
2020-02-04,PM2.5,16.3,Washington Heights
2021-02-04,Ozone,0.036,Washington Heights
2021-02-04,PM2.5,10.6,Washington Heights
2022-02-04,Ozone,0.023,Washington Heights
2022-02-04,PM2.5,5.5,Washington Heights
2020-02-05,Ozone,0.024,Washington Heights
2020-02-05,PM2.5,5.199999999999999,Washington Heights
2021-02-05,Ozone,0.024,Washington Heights
2021-02-05,PM2.5,10.9,Washington Heights
2022-02-05,Ozone,0.033,Washington Heights
2022-02-05,PM2.5,12.600000000000001,Washington Heights
2020-02-06,Ozone,0.014,Washington Heights
2020-02-06,PM2.5,5.25,Washington Heights
2021-02-06,Ozone,0.033,Washington Heights
2021-02-06,PM2.5,8.4,Washington Heights
2022-02-06,Ozone,0.03,Washington Heights
2022-02-06,PM2.5,7.25,Washington Heights
2020-02-07,Ozone,0.031,Washington Heights
2020-02-07,PM2.5,6.550000000000001,Washington Heights
2021-02-07,Ozone,0.033,Washington Heights
2021-02-07,PM2.5,10.05,Washington Heights
2022-02-07,Ozone,0.011,Washington Heights
2022-02-07,PM2.5,10.25,Washington Heights
2020-02-08,Ozone,0.031,Washington Heights
2020-02-08,PM2.5,9.85,Washington Heights
2021-02-08,Ozone,0.029,Washington Heights
2021-02-08,PM2.5,8.9,Washington Heights
2022-02-08,Ozone,0.031,Washington Heights
2022-02-08,PM2.5,9.55,Washington Heights
2020-02-09,Ozone,0.027,Washington Heights
2020-02-09,PM2.5,10.4,Washington Heights
2021-02-09,Ozone,0.008,Washington Heights
2021-02-09,PM2.5,9.75,Washington Heights
2022-02-09,Ozone,0.018,Washington Heights
2022-02-09,PM2.5,11.149999999999999,Washington Heights
2020-02-10,Ozone,0.013,Washington Heights
