date,units,site_name,state,county,pollutant,value,scaled_value,measurement,zip_code,sfg_id,point_id,x,y
05/23/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.4,-1.4599760603050755,NA,10452,143,143,-73.92009,40.83606
05/24/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.6,-0.4609875845975415,NA,10452,144,144,-73.92009,40.83606
05/25/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.5,-0.7226274234733242,NA,10452,145,145,-73.92009,40.83606
05/26/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.8,-0.4134167048019446,NA,10452,146,146,-73.92009,40.83606
05/27/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.3,-1.24590710122489,NA,10452,147,147,-73.92009,40.83606
05/28/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.4,-0.9842672623491069,NA,10452,148,148,-73.92009,40.83606
05/29/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.7,-0.6750565436777273,NA,10452,149,149,-73.92009,40.83606
05/30/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.7,-1.3886197406116805,NA,10452,150,150,-73.92009,40.83606
05/31/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,-1.1,-1.8167576587720522,NA,10452,151,151,-73.92009,40.83606
06/01/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.7,-1.3886197406116805,NA,10452,152,152,-73.92009,40.83606
06/02/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.2,-0.5561293441887352,NA,10452,153,153,-73.92009,40.83606
06/03/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,8.1,0.37150281182540373,NA,10452,154,154,-73.92009,40.83606
06/04/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.1,0.13364841284741938,NA,10452,155,155,-73.92009,40.83606
06/05/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.1,0.13364841284741938,NA,10452,156,156,-73.92009,40.83606
06/06/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.8,-0.8891255027579134,NA,10452,157,157,-73.92009,40.83606
06/07/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.1,-1.531332379998471,NA,10452,158,158,-73.92009,40.83606
06/08/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.3,-1.24590710122489,NA,10452,159,159,-73.92009,40.83606
06/09/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.8,0.30014649213200845,NA,10452,160,160,-73.92009,40.83606
06/10/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.7,0.2763610522342101,NA,10452,161,161,-73.92009,40.83606
06/11/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.4,0.20500473254081486,NA,10452,162,162,-73.92009,40.83606
06/12/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0,-1.5551178198962694,NA,10452,163,163,-73.92009,40.83606
06/13/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,-1.1,-1.8167576587720522,NA,10452,164,164,-73.92009,40.83606
06/14/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.7,-1.150765341633696,NA,10452,165,165,-73.92009,40.83606
06/15/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.7,-0.9129109426557117,NA,10452,166,166,-73.92009,40.83606
06/16/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.2,-1.0318381421447038,NA,10452,167,167,-73.92009,40.83606
06/17/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.1,-1.0556235820425024,NA,10452,168,168,-73.92009,40.83606
06/18/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.9,-1.3410488608160835,NA,10452,169,169,-73.92009,40.83606
06/19/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.7,-0.6750565436777273,NA,10452,170,170,-73.92009,40.83606
06/20/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.2,0.15743385274521793,NA,10452,171,171,-73.92009,40.83606
06/21/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.5,-0.2469186255173555,NA,10452,172,172,-73.92009,40.83606
06/22/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.3,-0.7701983032689211,NA,10452,173,173,-73.92009,40.83606
06/23/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.2,0.15743385274521793,NA,10452,174,174,-73.92009,40.83606
06/24/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.2,-0.5561293441887352,NA,10452,175,175,-73.92009,40.83606
06/25/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5,-0.36584582500634766,NA,10452,176,176,-73.92009,40.83606
06/26/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4,-0.603700223984332,NA,10452,177,177,-73.92009,40.83606
06/27/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,8.1,0.37150281182540373,NA,10452,178,178,-73.92009,40.83606
06/28/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7,0.10986297294962102,NA,10452,179,179,-73.92009,40.83606
06/29/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.8,-1.1269799017358977,NA,10452,180,180,-73.92009,40.83606
06/30/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,-0.1,-1.5789032597940678,NA,10452,181,181,-73.92009,40.83606
07/01/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.6,-0.6988419835755257,NA,10452,182,182,-73.92009,40.83606
07/02/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.4,-0.5085584643931382,NA,10452,183,183,-73.92009,40.83606
07/03/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,9,0.5855717709055898,NA,10452,184,184,-73.92009,40.83606
